Job Title,Job Link,Prof Area,Company,Location,Work Type,Experience Required,Education Required,Salary Range,Posted On
Составитель поездов (помощник),/ru/vacancy/sostavitel-poezdov-sostavitel-poezdov-(pomoshchnik)~4761183,Транспорт и логистика,"Товарищество с ограниченной ответственностью ""Казцинк-ТемирТранс""","Восточно-Казахстанская область, г. Риддер",полный рабочий день,Без опыта работы,общее среднее (с 1 по 11/12 классы),от 250 000 до 400 000 тг.,Опубликовано 21.04.2025
Тракторист-машинист сельскохозяйственного производства,/ru/vacancy/traktorist-mashinist-traktorist-mashinist-selskokhozyaistvennogo-proizvodstva~4761165,Сельское хозяйство,"Товарищество с ограниченной ответственностью ""Олжа Алтын-Инвест""","Костанайская область, Федоровский район, с.Вишневое",полный рабочий день,Без опыта работы,техническое и профессиональное,от 85 000 до 200 000 тг.,Опубликовано 21.04.2025
Автомеханик,/ru/vacancy/mekhanik-avtomekhanik~4761161,Производство,"Товарищество с ограниченной ответственностью ""Голубая звезда Казахстана""","г. Алматы, Турксибский район",неполный рабочий день,3 года стажа,техническое и профессиональное,от 100 000 до 300 000 тг.,Опубликовано 21.04.2025
Школьный психолог,/ru/vacancy/pedagog-psikholog-shkolnyi-psikholog~4761160,Образование и воспитание,"Государственное коммунальное предприятие на праве хозяйственного ведения ""Школа-лицей № 37 имени Сырбая Мауленова"" акимата города Астаны","г. Астана, район Алматы",полный рабочий день,1 год стажа,высшее,от 200 000 тг.,Опубликовано 21.04.2025
Учитель физики,/ru/vacancy/uchitel-fiziki-uchitel-fiziki~4761157,Образование и воспитание,"Коммунальное государственное учреждение ""Основная средняя школа села Белгородское отдела образования по Сандыктаускому району управления образования Акмолинской области""","Акмолинская область, Сандыктауский район, с.Белгородское",полный рабочий день,Без опыта работы,техническое и профессиональное,от 90 000 до 100 000 тг.,Опубликовано 21.04.2025
Учитель химии,/ru/vacancy/uchitel-khimii-uchitel-khimii~4761155,Образование и воспитание,"Коммунальное государственное учреждение ""Основная средняя школа села Белгородское отдела образования по Сандыктаускому району управления образования Акмолинской области""","Акмолинская область, Сандыктауский район, с.Белгородское",полный рабочий день,Без опыта работы,техническое и профессиональное,от 90 000 до 100 000 тг.,Опубликовано 21.04.2025
Логопед-дефектолог,/ru/vacancy/defektolog-logoped-defektolog~4761150,Образование и воспитание,"Коммунальное государственное учреждение ""Каракиянский районный кабинет психолого-педагогической коррекции"" Управления образования Мангистауской области","Мангистауская область, Каракиянский район, с.Жетыбай",полный рабочий день,Без опыта работы,высшее,от 85 000 до 206 000 тг.,Опубликовано 21.04.2025
Школьный психолог,/ru/vacancy/pedagog-psikholog-shkolnyi-psikholog~4761147,Образование и воспитание,"Государственное коммунальное предприятие на праве хозяйственного ведения ""Школа-лицей № 37 имени Сырбая Мауленова"" акимата города Астаны","г. Астана, район Алматы",полный рабочий день,1 год стажа,высшее,от 200 000 тг.,Опубликовано 21.04.2025
Логопед-дефектолог,/ru/vacancy/uchitel-defektolog-logoped-defektolog~4761146,Образование и воспитание,Коммунальное государственное учреждение «Кенкиякская общеобразовательная средняя школа» государственного учреждения «Отдел образования Темирского района Управления образования Актюбинской области»,"Актюбинская область, Темирский район",полный рабочий день,Без опыта работы,послевузовское,от 180 000 до 200 000 тг.,Опубликовано 21.04.2025
Уборщик помещений,"/ru/vacancy/tekhnichka,podoiti-na-sobesedovanie-karasai-batyra-29-ksk-ip-artol-uborshchik-pomeshchenii~4761139",Профессии без квалификации,ИП АртОл,"г. Астана, район Сарыарка",полный рабочий день,Без опыта работы,общее среднее (с 1 по 11/12 классы),от 85 000 до 90 000 тг.,Опубликовано 21.04.2025
Социальный педагог организации образования,/ru/vacancy/socialnyi-pedagog-socialnyi-pedagog-organizacii-obrazovaniya~4761130,Социальное обслуживание,"Государственное коммунальное предприятие на праве хозяйственного ведения ""Школа-лицей № 37 имени Сырбая Мауленова"" акимата города Астаны","г. Астана, район Алматы",полный рабочий день,1 год стажа,высшее,от 180 000 до 200 000 тг.,Опубликовано 21.04.2025
Фельдшер,"/ru/vacancy/feldsher,-medsestra-feldsher~4761127",Медицина и фармацевтика,"Товарищество с ограниченной ответственностью Частный медицинский центр ""Шипагер-С""","Атырауская область, г. Атырау",вахтовый метод,2 года стажа,техническое и профессиональное,от 130 000 до 160 000 тг.,Опубликовано 21.04.2025
Ветеринарный фельдшер,/ru/vacancy/veterinarlyk-feldsher-veterinarnyi-feldsher~4761125,Медицина и фармацевтика,Государственное коммунальное предприятие на праве хозяйственного ведения «Ветеринарная служба» управления ветеринарии Туркестанской области,"Туркестанская область, Сайрамский район, с.Колкент",полный рабочий день,Без опыта работы,техническое и профессиональное,от 85 000 до 100 000 тг.,Опубликовано 21.04.2025
Разнорабочий,/ru/vacancy/rabochii-raznorabochii~4761114,Профессии без квалификации,"Товарищество с ограниченной ответственностью ""НУР 777 КАС""","Северо-Казахстанская область, Аккайынский район, с.Ивановка",полный рабочий день,Без опыта работы,общее среднее (с 1 по 11/12 классы),от 120 000 тг.,Опубликовано 21.04.2025
Заместитель директора по воспитательной работе,/ru/vacancy/zamestitel-direktora-po-vospitatelnoi-rabote-zamestitel-direktora-po-vospitatelnoi-rabote~4761110,Образование и воспитание,"Государственное коммунальное предприятие на праве хозяйственного ведения ""Школа-лицей № 37 имени Сырбая Мауленова"" акимата города Астаны","г. Астана, район Алматы",полный рабочий день,1 год стажа,высшее,от 350 000 до 375 000 тг.,Опубликовано 21.04.2025
Повар,/ru/vacancy/aspaz-povar~4761108,Проживание и питание,"Государственное коммунальное казенное предприятие на праве оперативного управления ""Ясли-сад № 4 ""Самал"" Отдел образования по городу Жанаозен Управления образования Мангистауской области","Мангистауская область, г. Жанаозен",полный рабочий день,Без опыта работы,техническое и профессиональное,от 105 000 до 150 000 тг.,Опубликовано 21.04.2025
Учитель музыки,/ru/vacancy/muzykant-uchitel-muzyki~4761105,Образование и воспитание,"Государственное коммунальное казенное предприятие на праве оперативного управления ""Ясли-сад № 4 ""Самал"" Отдел образования по городу Жанаозен Управления образования Мангистауской области","Мангистауская область, г. Жанаозен",полный рабочий день,1 год стажа,техническое и профессиональное,от 150 000 до 175 000 тг.,Опубликовано 21.04.2025
Инструктор по лечебной физкультуре,/ru/vacancy/instruktor-po-lechebno-fizicheskoi-kulture-instruktor-po-lechebnoi-fizkulture~4761101,Медицина и фармацевтика,"Коммунальное государственное учреждение ""Каракиянский районный кабинет психолого-педагогической коррекции"" Управления образования Мангистауской области","Мангистауская область, Каракиянский район, с.Жетыбай",полный рабочий день,2 года стажа,послесреднее,от 85 000 до 167 000 тг.,Опубликовано 21.04.2025
