Job Title,Job Link,Prof Area,Company,Location,Work Type,Experience Required,Education Required,Salary Range,Posted On
Логист,/ru/vacancy/menedzher-po-logistike-logist~4763635,Транспорт и логистика,"Товарищество с ограниченной ответственностью ""ARMA GRADE""","г. Алматы, Ауэзовский район",полный рабочий день,3 года стажа,высшее,от 350 000 до 500 000 тг.,Опубликовано 22.04.2025
Преподаватель по физической культуре,"/ru/vacancy/al-farabi-atyndagy-binom-school-mektep-liceiine-orys-tildi-dene-shynyktyru-pani-mugalimi-kazhet,-rezyumengizdi-osy-saitka-zhiberingiz-https:--jumys.snation.kz-kz-tko-control-vacancies-58719-show-prepodavatel-po-fizicheskoi-kulture~4763633",Образование и воспитание,"Товарищество с ограниченной ответственностью ""BINOM ATYRAU""","Атырауская область, г. Атырау",полный рабочий день,Без опыта работы,высшее,от 150 000 до 200 000 тг.,Опубликовано 22.04.2025
Психолог,/ru/vacancy/psikholog-psikholog~4763629,Медицина и фармацевтика,"Коммунальное государственное предприятие на праве хозяйственного ведения ""Городская поликлиника № 18"" Управления общественного здравоохранения города Алматы","г. Алматы, Ауэзовский район",полный рабочий день,2 года стажа,высшее,от 250 000 тг.,Опубликовано 22.04.2025
Учитель химии,"/ru/vacancy/al-farabi-atyndagy-binom-school-mektep-liceiine-kazak-tildi-khimiya-pani-mugalimi-kazhet,-rezyumengizdi-osy-saitka-zhiberingiz-https:--jumys.snation.kz-kz-tko-control-vacancies-58719-show-uchitel-khimii~4763624",Образование и воспитание,"Товарищество с ограниченной ответственностью ""BINOM ATYRAU""","Атырауская область, г. Атырау",полный рабочий день,Без опыта работы,высшее,от 150 000 до 200 000 тг.,Опубликовано 22.04.2025
Учитель русского языка и литературы,/ru/vacancy/uchitel-russkogo-yazyka-i-literatury-s-gosudarstvennym-yazykom-obucheniya-uchitel-russkogo-yazyka-i-literatury~4763609,Образование и воспитание,"Коммунальное государственное учреждение ""Малоубинская средняя школа"" отдела образования по Глубоковскому району управления образования Восточно-Казахстанской области","Восточно-Казахстанская область, Глубоковский район, с.Малоубинка",полный рабочий день,1 год стажа,высшее,от 180 000 тг.,Опубликовано 22.04.2025
Учитель истории,"/ru/vacancy/al-farabi-atyndagy-binom-school-mektep-liceiine-orys-tilidi-tarikh-pani-mugalimi-kazhet,-rezyumengizdi-osy-saitka-zhiberingiz-https:--jumys.snation.kz-kz-tko-control-vacancies-58719-show-uchitel-istorii~4763608",Образование и воспитание,"Товарищество с ограниченной ответственностью ""BINOM ATYRAU""","Атырауская область, г. Атырау",полный рабочий день,Без опыта работы,высшее,от 150 000 до 200 000 тг.,Опубликовано 22.04.2025
Медицинская(ий) сестра/брат общей практики,/ru/vacancy/medicinskaya-sestra-medicinskaya(ii)-sestra-brat-obshchei-praktiki~4763597,Медицина и фармацевтика,"Товарищество с ограниченной ответственностью ""Казполиграф""","Область Абай, г.Семей",полный рабочий день,2 года стажа,техническое и профессиональное,от 150 000 тг.,Опубликовано 22.04.2025
Учитель физики,"/ru/vacancy/al-farabi-atyndagy-binom-school-mektep-liceiine-orys-tilidi-fizika-pani-mugalimi-kazhet,-rezyumengizdi-osy-saitka-zhiberingiz-https:--jumys.snation.kz-kz-tko-control-vacancies-58719-show-uchitel-fiziki~4763596",Образование и воспитание,"Товарищество с ограниченной ответственностью ""BINOM ATYRAU""","Атырауская область, г. Атырау",полный рабочий день,Без опыта работы,высшее,от 150 000 до 200 000 тг.,Опубликовано 22.04.2025
Кассир,/ru/vacancy/dnevnoi-operator-kassir-na-azs.-2-2-s-9.00-utra-do-21.00-vechera-kassir~4763594,Финансы и бухучет,"Филиал ТОО ""БИЗНЕС ПЕТРОЛЕУМ"" в городе Астана",г.Астана,посменный,Без опыта работы,техническое и профессиональное,от 150 000 до 180 000 тг.,Опубликовано 22.04.2025
Заведующий складом,/ru/vacancy/zaveduyushchii-skladom-zaveduyushchii-skladom~4763590,Торговля и складирование,"Государственное коммунальное предприятие на праве хозяйственного ведения ""Областной центр психического здоровья"" управления здравоохранения акимата Западно-Казахстанской области","Западно-Казахстанская область, г. Уральск",полный рабочий день,3 года стажа,техническое и профессиональное,от 128 869 до 187 889 тг.,Опубликовано 22.04.2025
Уборщик помещений,/ru/vacancy/uborshchik-pomeshchenii-uborshchik-pomeshchenii~4763586,Профессии без квалификации,"Товарищество с ограниченной ответственностью ""Бидай К""","Костанайская область, Карасуский район, с.Комсомольское",полный рабочий день,Без опыта работы,общее среднее (с 1 по 11/12 классы),от 85 000 тг.,Опубликовано 22.04.2025
Инспектор по кадрам,/ru/vacancy/inspektor-po-kadram~4763585,HR и секретариат,"Коммунальное государственное учреждение ""Методический центр"" Управления образования акимата Костанайской области","Костанайская область, г. Костанай",полный рабочий день,2 года стажа,высшее,от 105 840 до 125 891 тг.,Опубликовано 22.04.2025
Учитель математики (алгебра и геометрия),/ru/vacancy/al-farabi-atyndagy-binom-school-mektep-liceiine-orys-tildi-matematika-pani-mugalimi-rezyumengizdi-siltemedegi-saitka-zhiberingiz-https:--jumys.snation.kz-kz-tko-control-vacancies-58719-show-uchitel-matematiki-(algebra-i-geometriya)~4763584,Образование и воспитание,"Товарищество с ограниченной ответственностью ""BINOM ATYRAU""","Атырауская область, г. Атырау",полный рабочий день,Без опыта работы,высшее,от 150 000 до 200 000 тг.,Опубликовано 22.04.2025
Электрогазосварщик,/ru/vacancy/elektrogazosvarshchik~4763582,Производство,"Товарищество с ограниченной ответственностью ""Ново-Приречное""","Акмолинская область, Есильский район, с.Юбилейное",N/A,Без опыта работы,основное среднее (с 1 по 9 класс),N/A,Опубликовано 22.04.2025
"Ведущий специалист, Категория С-О-6","/ru/vacancy/intervyuer-po-provedeniyu-statisticheskikh-nablyudenii-vedushchii-specialist,-kategoriya-s-o-6~4763579",Госслужба,"Республиканское государственное учреждение ""Департамент Бюро национальной статистики Агентства по стратегическому планированию и реформам Республики Казахстан по Акмолинской области""","Акмолинская область, г. Косшы, г.Косшы",полный рабочий день,Без опыта работы,техническое и профессиональное,от 150 000 тг.,Опубликовано 22.04.2025
Акушер(ка),/ru/vacancy/akusherka-sadchikovskoi-va-akusher(ka)~4763574,Медицина и фармацевтика,"Коммунальное государственное предприятие ""Костанайская районная больница"" Управления здравоохранения акимата Костанайской области","Костанайская область, Костанайский район, с.Садчиковка",полный рабочий день,1 год стажа,техническое и профессиональное,от 175 000 до 240 000 тг.,Опубликовано 22.04.2025
Учитель музыки,/ru/vacancy/madeni-uiymdastyrushy-zhane-muzyka--bi-mamany-uchitel-muzyki~4763570,Образование и воспитание,Коммунальное государственное учреждение «Центр поддержки семьи «Жанұя» и активного долголетия» государственного учреждения «Отдел занятости и социальных программ Сарканского района»,"Область Жетісу, Саркандский район, г.Сарканд",полный рабочий день,2 года стажа,высшее,от 90 000 до 150 000 тг.,Опубликовано 22.04.2025
Помощник воспитателя,/ru/vacancy/pomoshchnik-vospitatelya~4763569,Образование и воспитание,"Коммунальное государственное казенное предприятие ""Ясли-сад №18"" Управления образования города Алматы""","г. Алматы, Алмалинский район",полный рабочий день,Без опыта работы,техническое и профессиональное,от 115 000 до 130 000 тг.,Опубликовано 22.04.2025
Помощник воспитателя,/ru/vacancy/pomoshchnik-vospitatelya-pomoshchnik-vospitatelya~4763568,Образование и воспитание,Коммунальное государственное казенное предприятие «Детский сад-ясли №17 «Ручеёк» отдела образования по городу Усть-Каменогорску управления образования Восточно-Казахстанской области,"Восточно-Казахстанская область, г.Усть-Каменогорск",полный рабочий день,Без опыта работы,техническое и профессиональное,от 120 000 до 130 000 тг.,Опубликовано 22.04.2025
Монтажник металлоконструкций,/ru/vacancy/montazhnik-metallicheskikh-beskarkasnykh-angarov-montazhnik-metallokonstrukcii~4763567,Строительство и архитектура,"Товарищество с ограниченной ответственностью ""KAZ EXPLO SERVICE""","Восточно-Казахстанская область, г. Усть-Каменогорск",полный рабочий день,3 года стажа,техническое и профессиональное,от 250 000 тг.,Опубликовано 22.04.2025
Повар,/ru/vacancy/povar-po-podgotovke-edy-v-yasli-sadu-povar~4763565,Проживание и питание,"Коммунальное государственное казенное предприятие ""Ясли-сад № 14"" отдела образования города Экибастуза, управления образования Павлодарской области","Павлодарская область, г. Экибастуз",полный рабочий день,3 года стажа,техническое и профессиональное,от 85 000 до 90 000 тг.,Опубликовано 22.04.2025
Школьный психолог,/ru/vacancy/psikholog-shkolnyi-psikholog~4763560,Образование и воспитание,"Государственное коммунальное казенное предприятие ""Хромтауский горно-технический высший колледж"" государственного учреждения ""Управление образования Актюбинской области""","Актюбинская область, Хромтауский район, г.Хромтау",полный рабочий день,3 года стажа,высшее,от 110 000 до 150 000 тг.,Опубликовано 22.04.2025
"Ведущий специалист, Категория С-О-6","/ru/vacancy/intervyuer-po-provedeniyu-statisticheskikh-nablyudenii-vedushchii-specialist,-kategoriya-s-o-6~4763558",Госслужба,"Республиканское государственное учреждение ""Департамент Бюро национальной статистики Агентства по стратегическому планированию и реформам Республики Казахстан по Акмолинской области""","Акмолинская область, г. Степногорск",полный рабочий день,Без опыта работы,техническое и профессиональное,от 150 000 тг.,Опубликовано 22.04.2025
Разнорабочий,/ru/vacancy/raznorabochii~4763551,Профессии без квалификации,"к/х ""Нұрлы Жай""","Жамбылская область, Байзакский  район, с.Сарыкемер",полный рабочий день,Без опыта работы,общее среднее (с 1 по 11/12 классы),от 85 000 тг.,Опубликовано 22.04.2025
Электромонтер (общий профиль),"/ru/vacancy/elektromonter-na-0,5-stavki-elektromonter-(obshchii-profil)~4763546",Энергетика,Коммунальное государственное учреждение «Школа-лицей №34» отдела образования по городу Усть-Каменогорску управления образования Восточно-Казахстанской области,"Восточно-Казахстанская область, г. Усть-Каменогорск",неполный рабочий день,1 год стажа,техническое и профессиональное,от 85 000 тг.,Опубликовано 22.04.2025
Бухгалтер,/ru/vacancy/bukhgalter-materialnogo-stola-bukhgalter~4763547,Финансы и бухучет,"Республиканское государственное учреждение ""23 дорожно-эксплуатационный участок"" Министерства обороны Республики Казахстан.","г. Шымкент, Абайский район",полный рабочий день,Без опыта работы,высшее,от 110 000 до 150 000 тг.,Опубликовано 22.04.2025
Заместитель директора (начальника) учебной части,/ru/vacancy/zamestitel-direktora-po-uchebnoi-rabote-s-gosudarstvennym-i-russkim-yazykom-obucheniya-1-stavka-zamestitel-direktora-(nachalnika)-uchebnoi-chasti~4763545,Образование и воспитание,"Коммунальное государственное учреждение ""Малоубинская средняя школа"" отдела образования по Глубоковскому району управления образования Восточно-Казахстанской области","Восточно-Казахстанская область, Глубоковский район, с.Малоубинка",полный рабочий день,1 год стажа,высшее,от 155 000 до 165 000 тг.,Опубликовано 22.04.2025
Учитель физики,/ru/vacancy/uchitel-fiziki-po-sovmestitelstvu-na-14-chasov-uchitel-fiziki~4763544,Образование и воспитание,Коммунальное государственное учреждение «Школа-лицей №34» отдела образования по городу Усть-Каменогорску управления образования Восточно-Казахстанской области,"Восточно-Казахстанская область, г. Усть-Каменогорск",неполный рабочий день,2 года стажа,высшее,от 85 000 тг.,Опубликовано 22.04.2025
Уборщик в школах,/ru/vacancy/uborka-shkolnykh-pomeshchenii-uborshchik-v-shkolakh~4763542,Профессии без квалификации,Коммунальное государственное учреждение «Школа-лицей №34» отдела образования по городу Усть-Каменогорску управления образования Восточно-Казахстанской области,"Восточно-Казахстанская область, г. Усть-Каменогорск",полный рабочий день,Без опыта работы,общее среднее (с 1 по 11/12 классы),от 88 000 до 95 000 тг.,Опубликовано 22.04.2025
Учитель математики (алгебра и геометрия),/ru/vacancy/uchitel-matematiki-(algebra-i-geometriya)~4763539,Образование и воспитание,Коммунальное государственное учреждение «Школа-лицей №34» отдела образования по городу Усть-Каменогорску управления образования Восточно-Казахстанской области,"Восточно-Казахстанская область, г. Усть-Каменогорск",полный рабочий день,3 года стажа,высшее,от 250 000 до 300 000 тг.,Опубликовано 22.04.2025
Водитель грузового автомобиля,/ru/vacancy/voditel-avtomobilya-voditel-gruzovogo-avtomobilya~4763538,Транспорт и логистика,"Филиал Товарищества с ограниченной ответственностью ""Востокцветмет""-""ВостокАвтоТранс""","Восточно-Казахстанская область, Шемонаихинский район, г.Шемонаиха",полный рабочий день,3 года стажа,общее среднее (с 1 по 11/12 классы),от 250 000 тг.,Опубликовано 22.04.2025
Слесарь-сантехник,"/ru/vacancy/slesar-santekhnik-na-0,5-stavki-slesar-santekhnik~4763536",ЖКХ и благоустройство,Коммунальное государственное учреждение «Школа-лицей №34» отдела образования по городу Усть-Каменогорску управления образования Восточно-Казахстанской области,"Восточно-Казахстанская область, г. Усть-Каменогорск",неполный рабочий день,2 года стажа,техническое и профессиональное,от 85 000 тг.,Опубликовано 22.04.2025
Охранник,/ru/vacancy/okhrannik-okhrannik~4763534,Безопасность и ЧС,"Товарищество с ограниченной ответственностью ""Дошкольный учебно-воспитательный центр ""Искорка""","Северо-Казахстанская область, г. Петропавловск",полный рабочий день,Без опыта работы,общее среднее (с 1 по 11/12 классы),от 100 000 тг.,Опубликовано 22.04.2025
Учитель музыки,/ru/vacancy/uchitel-muzyki-v-klassakh-s-russkim-yazykom-obucheniya-uchitel-muzyki~4763529,Образование и воспитание,"Коммунальное государственное учреждение ""Школа-гимназия №108"" Управления образования города Алматы","г. Алматы, Жетысуский район",полный рабочий день,Без опыта работы,высшее,от 85 000 до 90 000 тг.,Опубликовано 22.04.2025
Заведующий кафедрой,/ru/vacancy/zaveduyushchii-khudozhestvennym-otdeleniem-zaveduyushchii-kafedroi~4763526,Образование и воспитание,Коммунальное государственное казённое предприятие «Детская школа искусств имени «Газизы Жубановой» отдела образования города Темиртау управления образования Карагандинской области,"Карагандинская область, г. Темиртау",полный рабочий день,3 года стажа,высшее,от 141 141 тг.,Опубликовано 22.04.2025
Главный инженер (в строительстве),/ru/vacancy/glavnyi-inzhener-s-opytom-raboty-glavnym-inzhenerom-glavnyi-inzhener-(v-stroitelstve)~4763525,Строительство и архитектура,"Филиал Компании ""China CAMC Engineering Co.,Ltd (OAO ""Китайская корпорация инжиниринга CAMC"")"" в Республике Казахстан","Жамбылская область, Таласский район, г.Каратау",полный рабочий день,7 лет стажа,высшее,от 350 000 тг.,Опубликовано 22.04.2025
Заведующий кафедрой,/ru/vacancy/zaveduyushchii-muzykalnym-otdeleniem-zaveduyushchii-kafedroi~4763523,Образование и воспитание,Коммунальное государственное казённое предприятие «Детская школа искусств имени «Газизы Жубановой» отдела образования города Темиртау управления образования Карагандинской области,"Карагандинская область, г. Темиртау",полный рабочий день,3 года стажа,высшее,от 141 141 тг.,Опубликовано 22.04.2025
Социальный работник,/ru/vacancy/socialnyi-rabotnik-sadchikovskoi-va-socialnyi-rabotnik~4763518,Социальное обслуживание,"Коммунальное государственное предприятие ""Костанайская районная больница"" Управления здравоохранения акимата Костанайской области","Костанайская область, Костанайский район, с.Садчиковка",полный рабочий день,Без опыта работы,техническое и профессиональное,от 100 000 до 150 000 тг.,Опубликовано 22.04.2025
Заместитель директора по воспитательной работе,/ru/vacancy/zamestitel-direktora-po-vospitatelnoi-rabote-zamestitel-direktora-po-vospitatelnoi-rabote~4763517,Образование и воспитание,Коммунальное государственное казённое предприятие «Детская школа искусств имени «Газизы Жубановой» отдела образования города Темиртау управления образования Карагандинской области,"Карагандинская область, г. Темиртау",полный рабочий день,5 лет стажа,высшее,от 195 056 тг.,Опубликовано 22.04.2025
"Ведущий специалист, Категория С-О-6","/ru/vacancy/intervyuer-po-provedeniyu-statisticheskikh-nablyudenii-vedushchii-specialist,-kategoriya-s-o-6~4763515",Госслужба,"Республиканское государственное учреждение ""Департамент Бюро национальной статистики Агентства по стратегическому планированию и реформам Республики Казахстан по Акмолинской области""","Акмолинская область, район Биржан сал, г.Степняк",полный рабочий день,Без опыта работы,техническое и профессиональное,от 150 000 тг.,Опубликовано 22.04.2025
Преподаватель музыкальной школы,/ru/vacancy/prepodavatel-solnogo-peniya-gos.yaz-prepodavatel-muzykalnoi-shkoly~4763514,Образование и воспитание,Коммунальное государственное казённое предприятие «Детская школа искусств имени «Газизы Жубановой» отдела образования города Темиртау управления образования Карагандинской области,"Карагандинская область, г. Темиртау",полный рабочий день,Без опыта работы,высшее,от 129 259 тг.,Опубликовано 22.04.2025
Главный инженер (в строительстве),/ru/vacancy/glavnyi-inzhener-s-opytom-raboty-glavnym-inzhenerom-glavnyi-inzhener-(v-stroitelstve)~4763511,Строительство и архитектура,"Филиал Компании ""China CAMC Engineering Co.,Ltd (OAO ""Китайская корпорация инжиниринга CAMC"")"" в Республике Казахстан","Жамбылская область, Сарысуский район, г.Жанатас",полный рабочий день,7 лет стажа,высшее,от 350 000 тг.,Опубликовано 22.04.2025
Разнорабочий,/ru/vacancy/raznorabochii~4763510,Профессии без квалификации,"КХ ""Жетібай""","Жамбылская область, Байзакский  район, Жалгызтобинский с.о.",полный рабочий день,Без опыта работы,общее среднее (с 1 по 11/12 классы),от 85 000 тг.,Опубликовано 22.04.2025
Главный инженер (в строительстве),/ru/vacancy/glavnyi-inzhener-s-opytom-raboty-glavnym-inzhenerom-glavnyi-inzhener-(v-stroitelstve)~4763507,Строительство и архитектура,"Филиал Компании ""China CAMC Engineering Co.,Ltd (OAO ""Китайская корпорация инжиниринга CAMC"")"" в Республике Казахстан","Жамбылская область, г. Тараз",полный рабочий день,7 лет стажа,высшее,от 350 000 тг.,Опубликовано 22.04.2025
Подсобный рабочий,/ru/vacancy/podsobnyi-rabochii-podsobnyi-rabochii~4763504,Профессии без квалификации,"Товарищество с ограниченной ответственностью ""Детский ясли-сад ""Бибі-Ажар""","Туркестанская область, Ордабасинский район, с.Ынталы",полный рабочий день,Без опыта работы,общее среднее (с 1 по 11/12 классы),от 85 000 до 90 000 тг.,Опубликовано 22.04.2025
Акушер(ка),/ru/vacancy/akusherka-polikliniki-akusher(ka)~4763501,Медицина и фармацевтика,"Коммунальное государственное предприятие ""Костанайская районная больница"" Управления здравоохранения акимата Костанайской области","Костанайская область, Костанайский район, г. Тобыл",полный рабочий день,1 год стажа,техническое и профессиональное,от 175 000 до 220 000 тг.,Опубликовано 22.04.2025
"Ведущий специалист, Категория С-О-6","/ru/vacancy/intervyuer-po-provedeniyu-statisticheskikh-nablyudenii-vedushchii-specialist,-kategoriya-s-o-6~4763499",Госслужба,"Республиканское государственное учреждение ""Департамент Бюро национальной статистики Агентства по стратегическому планированию и реформам Республики Казахстан по Акмолинской области""","Акмолинская область, Шортандинский район, п.Шортанды",полный рабочий день,Без опыта работы,техническое и профессиональное,от 150 000 тг.,Опубликовано 22.04.2025
Врач-стоматолог,/ru/vacancy/stomatolog-vrach-stomatolog~4763497,Медицина и фармацевтика,"Коммунальное государственное предприятие ""Костанайская районная больница"" Управления здравоохранения акимата Костанайской области","Костанайская область, Костанайский район",полный рабочий день,1 год стажа,высшее,от 270 000 до 310 000 тг.,Опубликовано 22.04.2025
Экономист,/ru/vacancy/ekonomist-ekonomist~4763483,Финансы и бухучет,"Коммунальное государственное предприятие на праве хозяйственного ведения Восточно-Казахстанский областной многопрофильный ""Центр Онкологии и Хирургии"" управления здравоохранения Восточно-Казахстанской области","Восточно-Казахстанская область, г. Усть-Каменогорск",полный рабочий день,3 года стажа,высшее,от 150 000 до 220 000 тг.,Опубликовано 22.04.2025
Лаборант-исследователь (в области микробиологии),/ru/vacancy/laborant-v-stacionar-det.otd.-laborant-issledovatel-(v-oblasti-mikrobiologii)~4763479,Медицина и фармацевтика,"Государственное коммунальное предприятие ""Многопрофильная городская детская больница"" на праве хозяйственного ведения государственного учреждения ""Управление здравоохранения Актюбинской области""","Актюбинская область, г. Актобе, район Астана",полный рабочий день,5 лет стажа,техническое и профессиональное,от 150 000 тг.,Опубликовано 22.04.2025
"Ведущий специалист, Категория С-О-6","/ru/vacancy/intervyuer-po-provedeniyu-statisticheskikh-nablyudenii-vedushchii-specialist,-kategoriya-s-o-6~4763477",Госслужба,"Республиканское государственное учреждение ""Департамент Бюро национальной статистики Агентства по стратегическому планированию и реформам Республики Казахстан по Акмолинской области""","Акмолинская область, Целиноградский район, с.Акмол",полный рабочий день,Без опыта работы,техническое и профессиональное,от 150 000 тг.,Опубликовано 22.04.2025
Машинист топливоподачи,/ru/vacancy/mashinist-toplivopodachi-4-razryada-toplivno-transportnogo-cekha-proizvodstvennyi-departament-tec-3-mashinist-toplivopodachi~4763475,N/A,"Акционерное общество ""Алматинские электрические станции""","Алматинская область, Илийский район, с.Отеген батыра",посменный,1 год стажа,общее среднее (с 1 по 11/12 классы),от 242 200 тг.,Опубликовано 22.04.2025
Акушер(ка),/ru/vacancy/akusherka-akusher(ka)~4763474,Медицина и фармацевтика,"Государственное коммунальное предприятие на праве хозяйственного ведения ""Городская многопрофильная больница города Қонаев"" государственного учреждения ""Управление здравоохранения Алматинской области""","Алматинская область, г.Қонаев",полный рабочий день,Без опыта работы,техническое и профессиональное,от 150 000 тг.,Опубликовано 22.04.2025
Техник связи,/ru/vacancy/tekhnik-svyazi~4763470,IT и телекоммуникации,"Акционерное общество ""Авиакомпания ""Жезказган-эйр"" (ZHEZAIR)","Область Ұлытау, г.Жезказган",полный рабочий день,1 год стажа,техническое и профессиональное,от 250 000 тг.,Опубликовано 22.04.2025
Горничная,/ru/vacancy/gornichnaya-gornichnaya~4763468,Индивидуальные услуги и сервис,"Товарищество с ограниченной ответственностью ""РитмОйл""","Атырауская область, г. Атырау",полный рабочий день,Без опыта работы,общее среднее (с 1 по 11/12 классы),от 110 000 тг.,Опубликовано 22.04.2025
Врач-оториноларинголог,/ru/vacancy/vrach-lor-detskii-vrach-otorinolaringolog~4763467,Медицина и фармацевтика,"Государственное коммунальное предприятие на праве хозяйственного ведения ""Городская многопрофильная больница города Қонаев"" государственного учреждения ""Управление здравоохранения Алматинской области""","Алматинская область, г.Қонаев",полный рабочий день,Без опыта работы,высшее,от 250 000 тг.,Опубликовано 22.04.2025
Слесарь-сантехник,/ru/vacancy/slesar-santekhnik-perinatalnogo-centra-slesar-santekhnik~4763462,ЖКХ и благоустройство,"Коммунальное государственное предприятие на праве хозяйственного ведения ""Многопрофильная областная больница"" коммунального государственного учреждения ""Управление здравоохранения акимата Северо-Казахстанской области""","Северо-Казахстанская область, г. Петропавловск",полный рабочий день,1 год стажа,техническое и профессиональное,от 129 000 тг.,Опубликовано 22.04.2025
Заместитель директора по воспитательной работе,/ru/vacancy/zamestitel-direktora-po-vospitatelnoi-rabote-zamestitel-direktora-po-vospitatelnoi-rabote~4763459,Образование и воспитание,"Коммунальное государственное учреждение ""Школа-гимназия №5"" Отдела образования по городу Жанаозен Управления образования Мангистауской области","Мангистауская область, г.Жанаозен",полный рабочий день,1 год стажа,высшее,от 150 000 до 200 000 тг.,Опубликовано 22.04.2025
"Ведущий специалист, Категория С-О-6","/ru/vacancy/intervyuer-po-provedeniyu-statisticheskikh-nablyudenii-vedushchii-specialist,-kategoriya-s-o-6~4763457",Госслужба,"Республиканское государственное учреждение ""Департамент Бюро национальной статистики Агентства по стратегическому планированию и реформам Республики Казахстан по Акмолинской области""","Акмолинская область, Сандыктауский район, с.Балкашино",полный рабочий день,Без опыта работы,техническое и профессиональное,от 150 000 тг.,Опубликовано 22.04.2025
Инструктор по физической культуре,/ru/vacancy/fizikalyk-terapiya-nuskaushysy-instruktor-po-fizicheskoi-kulture~4763453,Культура и спорт,Коммунальное государственное учреждение «Центр поддержки семьи «Жанұя» и активного долголетия» государственного учреждения «Отдел занятости и социальных программ Сарканского района»,"Область Жетісу, Саркандский район, г.Сарканд",полный рабочий день,1 год стажа,техническое и профессиональное,от 90 000 до 150 000 тг.,Опубликовано 22.04.2025
SMM-менеджер,/ru/vacancy/menedzher-po-prodvizheniyu-cifrovoi-platformy-smm-menedzher~4763452,Маркетинг и СМИ,"Общественное объединение ""Отраслевой профессиональный союз работников горно-металлургических предприятий и смежных производств ""КәсіпҚорған""","Область Ұлытау, г.Жезказган",полный рабочий день,3 года стажа,высшее,от 250 000 тг.,Опубликовано 22.04.2025
"Ведущий специалист, Категория С-О-6","/ru/vacancy/intervyuer-po-provedeniyu-statisticheskikh-nablyudenii-vedushchii-specialist,-kategoriya-s-o-6~4763443",Госслужба,"Республиканское государственное учреждение ""Департамент Бюро национальной статистики Агентства по стратегическому планированию и реформам Республики Казахстан по Акмолинской области""","Акмолинская область, Коргалжынский район, с.Коргалжын",полный рабочий день,Без опыта работы,техническое и профессиональное,от 150 000 тг.,Опубликовано 22.04.2025
Электромонтажник,/ru/vacancy/elektromontazhnik~4763436,Энергетика,"Товарищество с ограниченной ответственностью ""GorSvetGroup""","г. Астана, район Алматы",полный рабочий день,3 года стажа,техническое и профессиональное,от 250 000 до 400 000 тг.,Опубликовано 22.04.2025
Архивист (методист по архивному делу),/ru/vacancy/arkhivist-arkhivist-(metodist-po-arkhivnomu-delu)~4763434,HR и секретариат,Коммунальное государственное учреждение «Государственный архив Атырауской области Управления цифровизации и архивов Атырауской области»,"Атырауская область, г. Атырау",полный рабочий день,Без опыта работы,высшее,от 100 000 до 150 000 тг.,Опубликовано 22.04.2025
Медицинская(ий) сестра/брат,/ru/vacancy/medicinskaya-sestra-medicinskaya(ii)-sestra-brat~4763431,Медицина и фармацевтика,"Государственное коммунальное предприятие на праве хозяйственного ведения ""Областной центр психического здоровья"" управления здравоохранения акимата Западно-Казахстанской области","Западно-Казахстанская область, г. Уральск",полный рабочий день,Без опыта работы,техническое и профессиональное,от 137 484 до 158 311 тг.,Опубликовано 22.04.2025
Оператор Call-центра,/ru/vacancy/operator-registrator-operator-call-centra~4763430,HR и секретариат,"Северо-Казахстанский филиал Товарищества с ограниченной ответственностью ""Olymp Medical Group""","г. Шымкент, Каратауский район",полный рабочий день,1 год стажа,послесреднее,от 100 000 до 150 000 тг.,Опубликовано 22.04.2025
Водитель автомобиля,"/ru/vacancy/voditel-uaz,-vaz,-gazeli-voditel-avtomobilya~4763428",Транспорт и логистика,"Товарищество с ограниченной ответственностью ""GorSvetGroup""","г. Астана, район Алматы",полный рабочий день,3 года стажа,техническое и профессиональное,от 220 000 до 300 000 тг.,Опубликовано 22.04.2025
Специалист по пенсионному обеспечению,"/ru/vacancy/vedushchii-specialist-otdelenie,-almalinskii-r-n,-ul.-shevchenko,-80-operacionnogo-otdela-filiala-ao-enpf-v-g.-almaty-specialist-po-pensionnomu-obespecheniyu~4763420",Социальное обслуживание,"Акционерное общество ""Единый накопительный пенсионный фонд""","г. Алматы, Алмалинский район",полный рабочий день,1 год стажа,высшее,от 160 000 тг.,Опубликовано 22.04.2025
"Ведущий специалист, Категория С-О-6","/ru/vacancy/intervyuer-po-provedeniyu-statisticheskikh-nablyudenii-vedushchii-specialist,-kategoriya-s-o-6~4763412",Госслужба,"Республиканское государственное учреждение ""Департамент Бюро национальной статистики Агентства по стратегическому планированию и реформам Республики Казахстан по Акмолинской области""","Акмолинская область, Зерендинский район, с.Зеренда",полный рабочий день,Без опыта работы,техническое и профессиональное,от 150 000 тг.,Опубликовано 22.04.2025
